nome,wiki,urls,wiki_visual,wiki_avg
Cengiz Ünder,https://en.wikipedia.org/wiki/Cengiz_Ünder,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Cengiz_Ünder,327399,925
Hakan Calhanoglu,https://en.wikipedia.org/wiki/Hakan_Çalhanoglu,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Hakan_Çalhanoglu,,
Bruno Fernandes,"https://en.wikipedia.org/wiki/Bruno_Fernandes_(footballer,_born_1994)","https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Bruno_Fernandes_(footballer,_born_1994)",175089,495
Yacine Brahimi,https://en.wikipedia.org/wiki/Yacine_Brahimi,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Yacine_Brahimi,111709,316
David Neres,https://en.wikipedia.org/wiki/David_Neres,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=David_Neres,137871,389
Paulinho,https://it.wikipedia.org/wiki/Paulinho_(calciatore_2000),https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Paulinho_(calciatore_2000),,
Santiago Ascacíbar,https://en.wikipedia.org/wiki/Santiago_Ascacíbar,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Santiago_Ascacíbar,50764,143
Nikola Milenkovic,https://en.wikipedia.org/wiki/Nikola_Milenkovic,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Nikola_Milenkovic,,
Lautaro Martínez,https://en.wikipedia.org/wiki/Lautaro_Martínez,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Lautaro_Martínez,424787,1200
Amine Harit,https://en.wikipedia.org/wiki/Amine_Harit,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Amine_Harit,123294,348
Pablo Fornals,https://en.wikipedia.org/wiki/Pablo_Fornals,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Pablo_Fornals,66882,189
