pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL
14,2,5,4,1,3,37,3,5,8,-,1,172,30,19,12,1,4
26,-,1,5,-,-,31,4,-,2,-,-,125,4,3,7,-,-
18,-,-,5,-,-,31,-,2,5,-,-,91,1,4,10,-,-
5,1,-,-,-,-,50,17,12,5,1,1,180,46,40,5,1,1
18,12,3,-,-,-,49,21,7,-,-,-,181,60,27,-,-,-
8,1,-,2,1,-,18,2,3,-,-,-,221,37,26,18,1,2
16,1,4,5,-,2,29,5,10,6,1,1,310,43,56,32,3,4
-,-,-,-,-,-,40,16,24,-,-,-,346,78,97,30,8,8
18,-,2,-,-,-,44,1,1,11,-,1,337,41,70,12,-,1
20,-,-,4,-,-,41,1,2,10,-,-,392,30,53,19,1,-
21,5,6,6,3,2,32,8,2,5,1,1,154,33,24,11,4,3
20,1,8,-,-,-,45,8,13,-,-,-,321,71,74,20,5,9
25,13,8,-,-,-,56,16,20,6,1,1,245,54,46,6,1,1
22,5,5,5,-,2,49,12,10,7,1,1,340,66,51,31,8,7
28,4,10,6,-,1,38,15,14,-,-,-,90,27,28,6,-,1
12,1,-,-,-,-,6,2,2,-,-,-,36,6,3,-,-,-
16,-,-,-,-,-,31,-,1,-,-,-,95,-,1,-,-,-
16,2,-,-,-,-,17,-,-,-,-,-,77,6,1,-,-,-
13,2,1,3,-,-,27,18,5,-,-,-,71,28,7,3,-,-
18,1,3,4,-,-,35,3,7,-,-,-,87,5,11,4,-,-
24,3,3,-,-,-,46,4,13,-,-,-,133,14,19,-,-,-
14,-,-,-,-,-,56,-,-,-,-,-,120,-,2,-,-,-
21,-,-,5,-,-,50,-,-,-,-,-,129,2,3,6,-,-
15,3,-,6,-,-,35,3,6,-,-,-,115,10,9,6,-,-
20,12,7,-,-,-,38,14,5,-,-,-,135,36,16,-,-,-
21,14,6,6,5,2,40,23,8,6,-,2,142,67,30,12,5,4
17,4,3,-,-,-,41,15,5,-,-,-,158,48,13,-,-,-
24,8,2,-,-,-,37,12,6,5,1,-,112,34,13,7,1,-
16,1,1,-,-,-,28,-,1,-,-,-,158,8,8,-,-,-
-,-,-,-,-,-,65,36,16,8,4,-,208,77,28,22,8,-
