nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Julian Draxler,0.558,0.613,0.586,0.586,0.757,0.613,0.562,0.475,0.59,0.618,0.602,0.349,0.456,0.562
Victor Wanyama,0.341,0.304,0.484,0.376,0.252,0.358,0.333,0.29,0.635,0.526,0.399,0.361,0.361,0.386
Steven Nzonzi,0.371,0.259,0.346,0.325,0.346,0.519,0.53,0.519,0.487,0.562,0.494,0.169,0.506,0.42
Dries Mertens,0.489,0.548,0.56,0.532,0.44,0.45,0.601,0.37,0.553,0.579,0.499,0.361,0.49,0.495
Diego Godín,0.398,0.555,0.528,0.494,0.5,0.74,0.574,0.647,0.548,0.652,0.61,0.554,0.462,0.56
Mateo Kovacic,0.597,0.556,0.541,0.565,0.492,0.464,0.675,0.618,0.585,0.662,0.583,0.42,0.55,0.56
Juan Mata,0.574,0.761,0.78,0.705,0.495,0.471,0.447,0.604,0.785,0.623,0.571,0.624,0.526,0.608
Marek Hamsik,0.449,0.509,0.466,0.475,0.466,0.489,0.789,0.454,0.525,0.545,0.545,0.39,0.398,0.498
David Silva,0.467,0.636,0.712,0.605,0.593,0.733,0.617,0.647,0.79,0.721,0.684,0.734,0.564,0.656
Axel Witsel,0.413,0.529,0.517,0.486,0.554,0.487,0.683,0.522,0.505,0.563,0.552,0.274,0.535,0.507
Blaise Matuidi,0.553,0.622,0.681,0.619,0.476,0.756,0.766,0.482,0.576,0.632,0.614,0.405,0.516,0.588
Hugo Lloris,0.487,0.43,0.459,0.458,0.483,0.629,0.357,0.414,0.675,0.625,0.53,0.349,0.554,0.496
Manuel Neuer,0.66,0.759,0.719,0.713,1.0,0.618,0.678,0.583,0.627,0.683,0.698,0.766,0.593,0.699
James Maddison,0.277,0.201,0.315,0.264,0.069,0.153,0.078,0.134,0.635,0.419,0.248,0.373,0.48,0.285
Lorenzo Pellegrini,0.276,0.281,0.2,0.252,0.207,0.243,0.593,0.353,0.415,0.441,0.376,0.444,0.336,0.345
Joe Gomez,0.412,0.252,0.493,0.386,0.416,0.333,0.2,0.316,0.63,0.541,0.406,0.606,0.463,0.424
Rony Lopes,0.133,0.264,0.295,0.231,0.105,0.512,0.257,0.207,0.329,0.405,0.302,0.361,0.258,0.284
Alassane Plea,0.285,0.145,0.248,0.226,0.424,0.57,0.403,0.309,0.815,0.618,0.523,0.607,0.275,0.427
